AutoDrive,s: Angle,Error,S,m: S,F,R,FS1,Seat,Pow
>>>>>>>>>>>>>>>>>>>>>>> Saved Origin x=0 , y=0:  gps_p_goN = -285302245, gps_p_goE = 283197864
>>>>>>>>>>>>>>>>>>>>>>> Saved Directional x=something , y=0:  gps_p_gyN = -285304347, gps_p_gyE = 283195992
Created Path successfully
0,-2.000000,0.183922,50.210590,0.000000,1,0,1,1,1
0,-2.000000,0.141918,38.743534,0.000000,1,0,1,1,1
0,-2.000000,0.120900,33.005676,0.000000,1,0,1,1,1
0,-2.000000,0.141918,38.743534,0.000000,1,0,1,1,1
0,-2.000000,0.141918,38.743534,0.000000,1,0,1,1,1
0,-2.000000,0.183922,50.210590,0.000000,1,0,1,1,1
0,-2.000000,0.204923,55.944084,0.000000,1,0,1,1,1
0,-2.000000,0.141918,38.743534,0.000000,1,0,1,1,1
0,-2.000000,0.141918,38.743534,0.000000,1,0,1,1,1
0,-2.000000,0.183922,50.210590,0.000000,1,0,1,1,1
0,-2.000000,0.183922,50.210590,0.000000,1,0,1,1,1
0,-2.000000,0.183922,50.210590,0.000000,1,0,1,1,1
0,-2.000000,0.204923,55.944084,0.000000,1,0,1,1,1
0,-2.000000,0.204923,55.944084,0.000000,1,0,1,1,1
0,-2.000000,0.204923,55.944084,0.000000,1,0,1,1,1
0,-2.000000,0.162920,44.477028,0.000000,1,0,1,1,1
0,-2.000000,0.204923,55.944084,0.000000,1,0,1,1,1
0,-2.000000,0.183922,50.210590,0.000000,1,0,1,1,1
0,-2.000000,0.162920,44.477028,0.000000,1,0,1,1,1
0,-2.000000,0.162920,44.477028,0.000000,1,0,1,1,1
0,-2.000000,0.162920,44.477028,0.000000,1,0,1,1,1
0,-2.000000,0.120900,33.005676,0.000000,1,0,1,1,1
0,-2.000000,0.162920,44.477028,0.000000,1,0,1,1,1
0,-2.000000,0.099898,27.272116,0.000000,1,0,1,1,1
0,-2.000000,0.120900,33.005676,0.000000,1,0,1,1,1
0,-2.000000,0.162920,44.477028,0.000000,1,0,1,1,1
0,-2.000000,0.162920,44.477028,0.000000,1,0,1,1,1
0,-2.000000,0.078896,21.538620,0.000000,1,0,1,1,1
0,-2.000000,0.120900,33.005676,0.000000,1,0,1,1,1
0,-2.000000,0.204923,55.944084,0.000000,1,0,1,1,1
0,-2.000000,0.141918,38.743534,0.000000,1,0,1,1,1
0,-2.000000,0.141918,38.743534,0.000000,1,0,1,1,1
0,-2.000000,0.099898,27.272116,0.000000,1,0,1,1,1
0,-2.000000,0.078896,21.538620,0.000000,1,0,1,1,1
0,-2.000000,0.141918,38.743534,0.000000,1,0,1,1,1
0,-2.000000,0.162920,44.477028,0.000000,1,0,1,1,1
0,-2.000000,0.162920,44.477028,0.000000,1,0,1,1,1
0,-2.000000,0.120900,33.005676,0.000000,1,0,1,1,1
0,-2.000000,0.141918,38.743534,0.000000,1,0,1,1,1
0,-2.000000,0.141918,38.743534,0.000000,1,0,1,1,1
0,-2.000000,0.162920,44.477028,0.000000,1,0,1,1,1
1,-2.000000,0.162920,44.477028,0.000000,1,0,1,1,1
1,-2.000000,0.099898,27.272116,27.600000,1,0,1,1,1
1,-2.000000,0.225925,61.677647,30.000000,1,0,1,1,1
1,-2.000000,0.162920,44.477028,30.000000,1,0,1,1,1
1,-2.000000,0.267929,73.144707,30.000000,1,0,1,1,1
1,-2.000000,0.078896,21.538620,30.000000,1,0,1,1,1
1,-2.000000,0.204923,55.944084,30.000000,1,0,1,1,1
1,-2.000000,0.246927,67.411209,30.000000,1,0,1,1,1
1,-2.000000,0.099898,27.272116,24.150002,1,0,1,1,1
1,-2.000000,0.120900,33.005676,22.670000,1,0,1,1,1
1,-2.000000,0.099898,27.272116,17.270000,1,0,1,1,1
1,-2.000000,0.078896,21.538620,15.980000,1,0,1,1,1
1,-2.000000,-0.194145,53.001675,18.050001,1,0,1,1,1
1,-2.000000,0.141918,38.743534,18.640001,1,0,1,1,1
1,-2.000000,0.162920,44.477028,20.500000,1,0,1,1,1
1,-2.000000,-0.047116,0.000000,19.180000,1,0,1,1,1
1,-2.000000,0.162920,44.477028,20.670000,1,0,1,1,1
1,-2.000000,0.099898,27.272116,19.150002,1,0,1,1,1
1,-2.000000,0.120900,33.005676,20.180000,1,0,1,1,1
1,-2.000000,-0.110137,30.067528,19.980001,1,0,1,1,1
1,-2.000000,-0.152141,41.534615,18.830000,1,0,1,1,1
1,-2.000000,0.120900,33.005676,18.220001,1,0,1,1,1
